Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
"All.90,000 cells (Thin 4x22500) axis0 unboxed  map.mapAxis (library)",228441796,13958828,2880080,2359,82837504
"All.90,000 cells (Thin 4x22500) axis0 unboxed  map.mapSeq",235990820,18939756,2880080,2354,82837504
"All.90,000 cells (Thin 4x22500) axis0 unboxed  map.mapPar",94898046,6932792,2894966,1254,82837504
"All.90,000 cells (Thin 4x22500) axis0 unboxed  map.mapParSpark",521375390,29753678,7849716,151401,82837504
"All.90,000 cells (Thin 4x22500) axis0 unboxed  scan.scanAxis (library)",67690185,6615398,720108,738,82837504
"All.90,000 cells (Thin 4x22500) axis0 unboxed  scan.scanSeq",67832861,6736808,720108,736,82837504
"All.90,000 cells (Thin 4x22500) axis0 unboxed  scan.scanSeqMut",67824169,6642256,720108,735,82837504
"All.90,000 cells (Thin 4x22500) axis0 unboxed  scan.scanSeqFreeze",67922851,4102004,720102,733,82837504
"All.90,000 cells (Thin 4x22500) axis0 unboxed  scan.scanSeqFibre",82175244,6981598,720357,731,82837504
"All.90,000 cells (Thin 4x22500) axis0 unboxed  scan.scanSeqStrip",65168237,3308462,723942,729,82837504
"All.90,000 cells (Thin 4x22500) axis0 unboxed  scan.scanParFibre",39760571,1802446,735192,806,82837504
"All.90,000 cells (Thin 4x22500) axis0 unboxed  scan.scanParStrip",35179956,3126236,735043,913,82837504
"All.90,000 cells (Thin 4x22500) axis0 unboxed  scan.scanParSpark",456343750,28038196,6511986,151572,82837504
"All.90,000 cells (Thin 4x22500) axis1 unboxed  map.mapAxis (library)",67646484,3386856,1441206,1501,82837504
"All.90,000 cells (Thin 4x22500) axis1 unboxed  map.mapSeq",68017675,4276370,1440654,1477,82837504
"All.90,000 cells (Thin 4x22500) axis1 unboxed  map.mapPar",46956347,3703596,1446418,2537,82837504
"All.90,000 cells (Thin 4x22500) axis1 unboxed  map.mapParSpark",80321533,3747160,1497589,1527,82837504
"All.90,000 cells (Thin 4x22500) axis1 unboxed  scan.scanAxis (library)",67529003,6665184,1441212,1491,82837504
"All.90,000 cells (Thin 4x22500) axis1 unboxed  scan.scanSeq",68055712,3653918,1440654,1467,82837504
"All.90,000 cells (Thin 4x22500) axis1 unboxed  scan.scanSeqMut",50818896,3277782,720022,716,82837504
"All.90,000 cells (Thin 4x22500) axis1 unboxed  scan.scanSeqFreeze",50874877,3492764,720022,715,82837504
"All.90,000 cells (Thin 4x22500) axis1 unboxed  scan.scanSeqFibre",73464306,6715410,721116,714,82837504
"All.90,000 cells (Thin 4x22500) axis1 unboxed  scan.scanSeqStrip",38398657,3392534,720878,712,82837504
"All.90,000 cells (Thin 4x22500) axis1 unboxed  scan.scanParFibre",35353442,3255126,727612,781,82837504
"All.90,000 cells (Thin 4x22500) axis1 unboxed  scan.scanParStrip",25685852,1005302,726347,1279,82837504
"All.90,000 cells (Thin 4x22500) axis1 unboxed  scan.scanParSpark",79898730,6706674,1502888,1502,82837504
"All.90,000 cells (Cube 30x30x100) axis1 unboxed  map.mapAxis (library)",174155273,13117246,2256080,1623,82837504
"All.90,000 cells (Cube 30x30x100) axis1 unboxed  map.mapSeq",174556250,13297180,2256080,1616,82837504
"All.90,000 cells (Cube 30x30x100) axis1 unboxed  map.mapPar",73513647,5489394,2278074,774,82837504
"All.90,000 cells (Cube 30x30x100) axis1 unboxed  map.mapParSpark",236498535,13746140,3535617,27861,82837504
"All.90,000 cells (Cube 30x30x100) axis1 unboxed  scan.scanAxis (library)",73057128,6888354,720108,700,82837504
"All.90,000 cells (Cube 30x30x100) axis1 unboxed  scan.scanSeq",72914746,6856256,720108,699,82837504
"All.90,000 cells (Cube 30x30x100) axis1 unboxed  scan.scanSeqMut",72932031,6955174,720108,700,82837504
"All.90,000 cells (Cube 30x30x100) axis1 unboxed  scan.scanSeqFreeze",72988427,6744452,720108,697,82837504
"All.90,000 cells (Cube 30x30x100) axis1 unboxed  scan.scanSeqFibre",78198291,6597272,727780,695,82837504
"All.90,000 cells (Cube 30x30x100) axis1 unboxed  scan.scanSeqStrip",78436816,6957576,731100,694,82837504
"All.90,000 cells (Cube 30x30x100) axis1 unboxed  scan.scanParFibre",36986633,3444450,742333,1170,82837504
"All.90,000 cells (Cube 30x30x100) axis1 unboxed  scan.scanParStrip",38560595,3345804,742191,870,82837504
"All.90,000 cells (Cube 30x30x100) axis1 unboxed  scan.scanParSpark",158066845,7095366,2692396,1845,82837504
"All.90,000 cells (Big) axis0 unboxed  map scanl1.mapAxis (library)",163912792,13758804,2169681,3159,82837504
"All.90,000 cells (Big) axis0 unboxed  map scanl1.mapSeq",164160546,13297180,2169680,3149,82837504
"All.90,000 cells (Big) axis0 unboxed  map scanl1.mapPar",67147485,5584492,2184538,759,82837504
"All.90,000 cells (Big) axis0 unboxed  map scanl1.mapParSpark",180822656,13707708,3054240,26513,82837504
"All.90,000 cells (Big) axis1 unboxed  map scanl1.mapAxis (library)",83348925,7009984,1526460,117493,82837504
"All.90,000 cells (Big) axis1 unboxed  map scanl1.mapSeq",79898876,3821514,1485646,103139,82837504
"All.90,000 cells (Big) axis1 unboxed  map scanl1.mapPar",45717065,2675038,1457099,742,82837504
"All.90,000 cells (Big) axis1 unboxed  map scanl1.mapParSpark",101704101,6850140,1527452,109135,82837504
"All.4,000,000 cells (Huge) axis0 unboxed  map.mapAxis (library)",29132887500,2352455314,96067137,1266072,222298112
"All.4,000,000 cells (Huge) axis0 unboxed  map.mapSeq",29043387500,2005585270,96067237,1267392,222298112
"All.4,000,000 cells (Huge) axis0 unboxed  map.mapPar",9868953125,361404486,96079313,1272276,223346688
"All.4,000,000 cells (Huge) axis0 unboxed  map.mapParSpark",9390350000,889619644,128382466,3804520,223346688
"All.4,000,000 cells (Huge) axis0 unboxed  scan.scanAxis (library)",3030854687,223543908,32000487,4037,223346688
"All.4,000,000 cells (Huge) axis0 unboxed  scan.scanSeq",3049763281,165699624,32000292,4022,223346688
"All.4,000,000 cells (Huge) axis0 unboxed  scan.scanSeqMut",3033932812,211021926,32000291,4014,223346688
"All.4,000,000 cells (Huge) axis0 unboxed  scan.scanSeqFreeze",3035882421,52804394,32000194,4016,223346688
"All.4,000,000 cells (Huge) axis0 unboxed  scan.scanSeqFibre",23038206250,1097518064,32001883,4044,223346688
"All.4,000,000 cells (Huge) axis0 unboxed  scan.scanSeqStrip",7975950000,504470910,32004718,4002,223346688
"All.4,000,000 cells (Huge) axis0 unboxed  scan.scanParFibre",7008987500,694480786,32016093,7044,223346688
"All.4,000,000 cells (Huge) axis0 unboxed  scan.scanParStrip",1813066210,88025086,32015057,4451,223346688
"All.4,000,000 cells (Huge) axis0 unboxed  scan.scanParSpark",8282818750,505407264,96349317,3811117,223346688
"All.4,000,000 cells (Huge) axis1 unboxed  map.mapAxis (library)",5698603125,461035290,64576830,2252781,228589568
"All.4,000,000 cells (Huge) axis1 unboxed  map.mapSeq",5649235937,473089094,64304433,2261157,228589568
"All.4,000,000 cells (Huge) axis1 unboxed  map.mapPar",2624550000,232313486,64044700,1255107,272629760
"All.4,000,000 cells (Huge) axis1 unboxed  map.mapParSpark",4868756250,469238864,69638698,2521886,272629760
"All.4,000,000 cells (Huge) axis1 unboxed  scan.scanAxis (library)",5781953125,455878358,64576842,2274008,272629760
"All.4,000,000 cells (Huge) axis1 unboxed  scan.scanSeq",5773631250,516056538,64304811,2265111,272629760
"All.4,000,000 cells (Huge) axis1 unboxed  scan.scanSeqMut",2042350000,122323398,32000211,3902,272629760
"All.4,000,000 cells (Huge) axis1 unboxed  scan.scanSeqFreeze",2041617187,52827104,32000116,3891,272629760
"All.4,000,000 cells (Huge) axis1 unboxed  scan.scanSeqFibre",3139953125,227065714,32512472,3893,272629760
"All.4,000,000 cells (Huge) axis1 unboxed  scan.scanSeqStrip",1607046875,135614028,32001675,3878,272629760
"All.4,000,000 cells (Huge) axis1 unboxed  scan.scanParFibre",1077179687,73030328,32524831,4295,272629760
"All.4,000,000 cells (Huge) axis1 unboxed  scan.scanParStrip",871302734,69248230,32012384,4243,272629760
"All.4,000,000 cells (Huge) axis1 unboxed  scan.scanParSpark",4700862500,423832708,69581136,2507411,272629760
"All.chunks per capability, 90,000 (Big) axis0 unboxed.scanSeqStrip mult=1",80840673,6552290,722124,639,272629760
"All.chunks per capability, 90,000 (Big) axis0 unboxed.scanSeqStrip mult=2",79626953,7159128,723948,638,272629760
"All.chunks per capability, 90,000 (Big) axis0 unboxed.scanSeqStrip mult=8",91684716,6602078,734892,636,272629760
"All.chunks per capability, 90,000 (Big) axis0 unboxed.scanSeqStrip mult=32",119259521,6661254,778668,637,272629760
